"prefix","idorgNamespace","title","description","sourceType","baseUri","alternatePrefixes","licence","versionInfo"
"WBls","","C. elegans Development Ontology","Ontology about the development and life stages of the C. elegans","ONTOLOGY","","wbls,WBLS,WBls","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:12.540+0000"
"WBPhenotype","","C elegans Phenotype Ontology","Ontology about C. elegans and other nematode phenotypes","ONTOLOGY","","wbphenotype,WBPHENOTYPE,WBPhenotype","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:50.695+0000"
"XAO","","Xenopus Anatomy Ontology","XAO represents the anatomy and development of the African frogs Xenopus laevis and tropicalis.","ONTOLOGY","","xao,XAO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:34:47.381+0000"
"GENEPIO","","Genomic Epidemiology Ontology","The Genomic Epidemiology Ontology (GenEpiO) covers vocabulary necessary to identify, document and research foodborne pathogens and associated outbreaks.","ONTOLOGY","","genepio,GENEPIO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:30.471+0000"
"GENO","","GENO ontology","GENO is an OWL model of genotypes, their more fundamental sequence components, and links to related biological and experimental entities.  At present many parts of the model are exploratory and set to undergo refactoring.  In addition, many classes and properties have GENO URIs but are place holders for classes that will be imported from an external ontology (e.g. SO, ChEBI, OBI, etc).  Furthermore, ongoing work will implement a model of genotype-to-phenotype associations. This will support description of asserted and inferred relationships between a genotypes, phenotypes, and environments, and the evidence/provenance behind these associations. 

Documentation is under development as well, and for now a slidedeck is available at http://www.slideshare.net/mhb120/brush-icbo-2013","ONTOLOGY","","geno,GENO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:34.848+0000"
"GEO","","Geographical Entity Ontology","An ontology of geographical entities","ONTOLOGY","","geo,GEO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:09.728+0000"
"GeXO","","Gene Expression Ontology","Gene Expression Ontology","ONTOLOGY","","gexo,GEXO,GeXO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:39.047+0000"
"GNO","","Glycan Naming Ontology","An ontology for glycans based on GlyTouCan, but organized by subsumption.","ONTOLOGY","","gno,GNO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:29.817+0000"
"HP","","Human Phenotype Ontology","The Human Phenotype Ontology (HPO) provides a standardized vocabulary of phenotypic abnormalities and clinical features encountered in human disease.","ONTOLOGY","","hp,HP,hpo,HPO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:29.541+0000"
"MC","","Histopathology Ontology","An ontology of histopathological morphologies used by pathologists to classify/categorise animal lesions observed histologically during regulatory toxicology studies. The ontology was developed using real data from over 6000 regulatory toxicology studies donated by 13 companies spanning nine species.","ONTOLOGY","","hpath,HPATH,MC,mc","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:24.056+0000"
"HSAPDV","","Human Developmental Stages","Life cycle stages for Human","ONTOLOGY","","hsapdv,HSAPDV","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:18.302+0000"
"KISAO","","Kinetic Simulation Algorithm Ontology","A classification of algorithms available for the simulation of models in biology.","ONTOLOGY","","kisao,KISAO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:18.283+0000"
"LBO","","Livestock Breed Ontology","A vocabulary for cattle, chicken, horse, pig, and sheep breeds.","ONTOLOGY","","lbo,LBO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:35.310+0000"
"MAMO","","Mathematical Modelling Ontology","The Mathematical Modelling Ontology (MAMO) is a classification of the types of mathematical models used mostly in the life sciences, their variables, relationships and other relevant features.","ONTOLOGY","","mamo,MAMO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:27.902+0000"
"MAXO","","Medical Action Ontology","An ontology to represent medically relevant actions, procedures, therapies, interventions, and recommendations.","ONTOLOGY","","maxo,MAXO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-29T12:32:16.923+0000"
"MF","","Mental Functioning Ontology","The Mental Functioning Ontology is an overarching ontology for all aspects of mental functioning.","ONTOLOGY","","mf,MF","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T18:08:51.049+0000"
"MFOEM","","Emotion Ontology","An ontology of affective phenomena such as emotions, moods, appraisals and subjective feelings.","ONTOLOGY","","mfoem,MFOEM","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T19:36:25.780+0000"
"MFOMD","","Mental Disease Ontology","The Mental Disease Ontology is developed to facilitate representation for all aspects of mental disease. It is an extension of the Ontology for General Medical Science (OGMS) and Mental Functioning Ontology (MF).","ONTOLOGY","","mfomd,MFOMD","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T21:04:35.397+0000"
"MIAPA","","Minimum Information for A Phylogenetic Analysis (MIAPA) Ontology","The MIAPA ontology is intended to be an application ontology for the purpose of semantic annotation of phylogenetic data according to the requirements and recommendations of the Minimum Information for A Phylogenetic Analysis (MIAPA) metadata reporting standard. The ontology leverages (imports) primarily from the CDAO (Comparative Data Analysis Ontology), PROV (W3C Provenance Ontology), and SWO (Software Ontology, which includes the EDAM ontologies) ontologies. It adds some assertions of its own, as well as some classes and individuals that may eventually get pushed down into one of the respective source ontologies.

This ontology is maintained at http://github.com/miapa/miapa, and requests for changes or additions should be filed at the issue tracker there. The discussion list is at miapa-discuss@googlegroups.com. Further resources about MIAPA can be found at the project's main page at http://evoio.org/wiki/MIAPA.","ONTOLOGY","","miapa,MIAPA","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:19.128+0000"
"MIRNAO","","microRNA Ontology","An application ontology for use with miRNA databases.","ONTOLOGY","","mirnao,MIRNAO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:19.060+0000"
"MIRO","","Mosquito insecticide resistance","Application ontology for entities related to insecticide resistance in mosquitos","ONTOLOGY","","miro,MIRO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:34.951+0000"
"MONDO","","Mondo Disease Ontology","An ontology that harmonizes multiple disease resources.","ONTOLOGY","","mondo,MONDO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:06.575+0000"
"MSIO","","Metabolomics Standards Initiative Ontology (MSIO)","an application ontology for supporting description and annotation of mass-spectrometry and nmr-spectroscopy based metabolomics experiments and fluxomics studies.","ONTOLOGY","","msio,MSIO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:54.989+0000"
"NCRO","","Non-Coding RNA Ontology","An ontology for non-coding RNA, both of biological origin, and engineered.","ONTOLOGY","","ncro,NCRO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:28.986+0000"
"PPO","","Plant Phenology Ontology","An ontology for describing the phenology of individual plants and populations of plants, and for integrating plant phenological data across sources and scales.","ONTOLOGY","","ppo,PPO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:35.092+0000"
"TTO","","Teleost taxonomy ontology","An ontology covering the taxonomy of teleosts (bony fish)","ONTOLOGY","","tto,TTO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:37:40.401+0000"
"TXPO","","TOXic Process Ontology (TXPO)","Elucidating the mechanism of toxicity is crucial in drug safety evaluations. TOXic Process Ontology (TXPO) systematizes a wide variety of terms involving toxicity courses and processes. The first version of TXPO focuses on liver toxicity.

The TXPO contains an is-a hierarchy that is organized into three layers: the top layer contains general terms, mostly derived from the Basic Formal Ontology. The intermediate layer contains biomedical terms in OBO foundry from UBERON, Cell Ontology, NCBI Taxon, ChEBI, Gene Ontology, PATO, OGG, INOH, HINO, NCIT, DOID and Relational ontology (RO). The lower layer contains toxicological terms.

In applied work, we have developed a prototype of TOXPILOT, a TOXic Process InterpretabLe knOwledge sysTem. TOXPILOT provides visualization maps of the toxic course, which facilitates capturing the comprehensive picture for understanding toxicity mechanisms. A prototype of TOXPILOT is available: https://toxpilot.nibiohn.go.jp","ONTOLOGY","","txpo,TXPO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-30T10:39:37.657+0000"
"UBERON","","Uber-anatomy ontology","Uberon is an integrated cross-species anatomy ontology representing a variety of entities classified according to traditional anatomical criteria such as structure, function and developmental lineage. The ontology includes comprehensive relationships to taxon-specific anatomical ontologies, allowing integration of functional, phenotype and expression data.","ONTOLOGY","","uberon,UBERON","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:37:08.873+0000"
"UPHENO","","Unified phenotype ontology (uPheno)","The uPheno ontology integrates multiple phenotype ontologies into a unified cross-species phenotype ontology.","ONTOLOGY","","upheno,UPHENO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:22.264+0000"
"VARIO","","Variation Ontology","Variation Ontology, VariO, is an ontology for standardized, systematic description of effects, consequences and mechanisms of variations.","ONTOLOGY","","vario,VARIO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:21.011+0000"
"VO","","Vaccine Ontology","The Vaccine Ontology (VO) is a biomedical ontology in the domain of vaccine and vaccination. VO aims to standardize vaccine annotation, integrate various vaccine data, and support computer-assisted reasoning.  VO supports basic vaccine R&D and clincal vaccine usage. VO is being developed as a community-based ontology with support and collaborations from the vaccine and bio-ontology communities.","ONTOLOGY","","vo,VO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:25.777+0000"
"VTO","","Vertebrate Taxonomy Ontology","Comprehensive hierarchy of extinct and extant vertebrate taxa.","ONTOLOGY","","vto,VTO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:37:46.479+0000"
"BIND","bind","BIND","BIND is a database of protein-protein interactions. This data-resource is not open-access.","DATABASE","","bind,BIND","None","None"
"Ensembl","ensembl","Ensembl","Ensembl is a joint project between EMBL - EBI and the Sanger Institute  to develop a software system which produces and maintains automatic annotation on selected eukaryotic genomes. This collections also references outgroup organisms.","DATABASE","","ensembl,ENSEMBL,Ensembl","None","None"
"ec-code","ec-code","Enzyme Nomenclature","The Enzyme Classification contains the recommendations of the Nomenclature Committee of the International Union of Biochemistry and Molecular Biology on the nomenclature and classification of enzyme-catalysed reactions.","DATABASE","","ec-code,EC-CODE","None","None"
"uniprot","uniprot","UniProt Knowledgebase","The UniProt Knowledgebase (UniProtKB) is a comprehensive resource for protein sequence and functional information with extensive cross-references to more than 120 external databases. Besides amino acid sequence and a description, it also provides taxonomic data and citation information.","DATABASE","","uniprot,UNIPROT","None","None"
"Taxonomy","taxonomy","Taxonomy","The taxonomy contains the relationships between all living forms for which nucleic acid or protein sequence have been determined.","DATABASE","","taxonomy,TAXONOMY,Taxonomy","None","None"
"biomodels.db","biomodels.db","BioModels Database","BioModels Database is a data resource that allows biologists to store, search and retrieve published mathematical models of biological interests.","DATABASE","","biomodels.db,BIOMODELS.DB","None","None"
"miriam.collection","miriam.collection","MIRIAM Registry collection","MIRIAM Registry is an online resource created to catalogue collections (Gene Ontology, Taxonomy or PubMed are some examples) and the corresponding resources (physical locations) providing access to those data collections. The Registry provides unique and perennial URIs for each entity of those data collections.","DATABASE","","miriam.collection,MIRIAM.COLLECTION","None","None"
"ICD10CM","icd10","ICD-10","The International Classification of Diseases is the international standard diagnostic classification for all general epidemiological and many health management purposes.","DATABASE","","icd10,ICD10,ICD-10,icd-10,ICD-10CM,icd-10cm,ICD-10-CM,icd-10-cm,ICD10CM,icd10cm","https://uts.nlm.nih.gov/help/license/LicenseAgreement.pdf","2016AB"
"ICD9CM","icd9","ICD-9","The International Classification of Diseases is the international standard diagnostic classification for all general epidemiological and many health management purposes.","DATABASE","","icd9,ICD9,ICD-9,icd-9,ICD-9CM,icd-9cm,ICD-9-CM,icd-9-cm,ICD9CM,icd9cm","https://uts.nlm.nih.gov/help/license/LicenseAgreement.pdf","2016AB"
"IntAct","intact","IntAct","IntAct provides a freely available, open source database system and analysis tools for protein interaction data.","DATABASE","","intact,INTACT,IntAct","None","None"
"InterPro","interpro","InterPro","InterPro is a database of protein families, domains and functional sites in which identifiable features found in known proteins can be applied to unknown protein sequences.","DATABASE","","interpro,INTERPRO,InterPro","None","None"
"kegg.pathway","kegg.pathway","KEGG Pathway","KEGG PATHWAY is a collection of manually drawn pathway maps representing our knowledge on the molecular interaction and reaction networks.","DATABASE","","kegg.pathway,KEGG.PATHWAY","None","None"
"KEGG_COMPOUND","kegg.compound","KEGG Compound","KEGG compound contains our knowledge on the universe of chemical substances that are relevant to life.","DATABASE","","kegg.compound,KEGG.COMPOUND,KEGG COMPOUND,kegg compound,KEGG_COMPOUND,kegg_compound","None","None"
"kegg.reaction","kegg.reaction","KEGG Reaction","KEGG reaction contains our knowledge on the universe of reactions that are relevant to life.","DATABASE","","kegg.reaction,KEGG.REACTION","None","None"
"PubMed","pubmed","PubMed","PubMed is a service of the U.S. National Library of Medicine that includes citations from MEDLINE and other life science journals for biomedical articles back to the 1950s.","DATABASE","","pubmed,PUBMED,PubMed","None","None"
"OMIM","omim","OMIM","Online Mendelian Inheritance in Man is a catalog of human genes and genetic disorders.","DATABASE","","omim,OMIM","None","None"
"PIRSF","pirsf","PIRSF","The PIR SuperFamily concept is being used as a guiding principle to provide comprehensive and non-overlapping clustering of UniProtKB sequences into a hierarchical order to reflect their evolutionary relationships.","DATABASE","","pirsf,PIRSF","None","None"
"Reactome","reactome","Reactome","The Reactome project is a collaboration to develop a curated resource of core pathways and reactions in human biology.","DATABASE","","reactome,REACTOME,Reactome","None","None"
"DOI","doi","DOI","The Digital Object Identifier System is for identifying content objects in the digital environment.","DATABASE","","doi,DOI","None","None"
"pdb","pdb","Protein Data Bank","The Protein Data Bank is the single worldwide archive of structural data of biological macromolecules.","DATABASE","","pdb,PDB","None","None"
"CluSTr","clustr","CluSTr","The CluSTr database offers an automatic classification of UniProt Knowledgebase and IPI proteins into groups of related proteins. The clustering is based on analysis of all pairwise comparisons (Smith-Waterman) between protein sequences.","DATABASE","","clustr,CLUSTR,CluSTr","None","None"
"SGD","sgd","SGD","The Saccharomyces Genome Database (SGD) project collects information and maintains a database of the molecular biology of the yeast Saccharomyces cerevisiae.","DATABASE","","sgd,SGD","None","None"
"biomodels.sbo","biomodels.sbo","Systems Biology Ontology","The goal of the Systems Biology Ontology is to develop controlled vocabularies and ontologies tailored specifically for the kinds of problems being faced in Systems Biology, especially in the context of computational modeling. SBO is a project of the BioModels.net effort.","DATABASE","","biomodels.sbo,BIOMODELS.SBO","None","None"
"KEGG_DRUG","kegg.drug","KEGG Drug","KEGG DRUG contains chemical structures of drugs and additional information such as therapeutic categories and target molecules.","DATABASE","","kegg.drug,KEGG.DRUG,KEGG DRUG,kegg drug,KEGG_DRUG,kegg_drug","None","None"
"kegg.glycan","kegg.glycan","KEGG Glycan","KEGG GLYCAN, a part of the KEGG LIGAND database, is a collection of experimentally determined glycan structures. It contains all unique structures taken from CarbBank, structures entered from recent publications, and structures present in KEGG pathways.","DATABASE","","kegg.glycan,KEGG.GLYCAN","None","None"
"WormBase","wormbase","WormBase","WormBase is an online bioinformatics database of the biology and genome of the model organism Caenorhabditis elegans and related nematodes. It is used by the C. elegans research community both as an information resource and as a mode to publish and distribute their results. This collection references genes.","DATABASE","","wormbase,WORMBASE,WormBase","None","None"
"Pfam","pfam","Pfam","The Pfam database contains information about protein domains and families. For each entry a protein sequence alignment and a Hidden Markov Model is stored.","DATABASE","","pfam,PFAM,Pfam","None","None"
"insdc","insdc","Nucleotide Sequence Database","The International Nucleotide Sequence Database Collaboration (INSDC) consists of a joint effort to collect and disseminate databases containing DNA and RNA sequences.","DATABASE","","insdc,INSDC","None","None"
"FlyBase","flybase","FlyBase","FlyBase is the database of the Drosophila Genome Projects and of associated literature.","DATABASE","","flybase,FLYBASE,FlyBase","None","None"
"Wormpep","wormpep","Wormpep","Wormpep contains the predicted proteins from the Caenorhabditis elegans genome sequencing project.","DATABASE","","wormpep,WORMPEP,Wormpep","None","None"
"PROSITE","prosite","PROSITE","PROSITE consists of documentation entries describing protein domains, families and functional sites as well as associated patterns and profiles to identify them.","DATABASE","","prosite,PROSITE","None","None"
"PubChem-substance","pubchem.substance","PubChem-substance","PubChem provides information on the biological activities of small molecules. It is a component of NIH's Molecular Libraries Roadmap Initiative. PubChem Substance archives chemical substance records.","DATABASE","","pubchem.substance,PUBCHEM.SUBSTANCE,PubChem-substance,pubchem-substance,PUBCHEM-SUBSTANCE","None","None"
"PubChem-compound","pubchem.compound","PubChem-compound","PubChem provides information on the biological activities of small molecules. It is a component of NIH's Molecular Libraries Roadmap Initiative. PubChem Compound archives chemical structures and records.","DATABASE","","pubchem.compound,PUBCHEM.COMPOUND,PubChem-compound,pubchem-compound,PUBCHEM-COMPOUND","None","None"
"arXiv","arxiv","arXiv","arXiv is an e-print service in the fields of physics, mathematics, non-linear science, computer science, and quantitative biology.","DATABASE","","arxiv,ARXIV,arXiv","None","None"
"ArrayExpress","arrayexpress","ArrayExpress","ArrayExpress is a public repository for microarray data, which is aimed at storing MIAME-compliant data in accordance with Microarray Gene Expression Data (MGED) recommendations.","DATABASE","","arrayexpress,ARRAYEXPRESS,ArrayExpress","None","None"
"mgd","mgd","Mouse Genome Database","The Mouse Genome Database (MGD) project includes data on gene characterization, nomenclature, mapping, gene homologies among mammals, sequence links, phenotypes, allelic variants and mutants, and strain data.","DATABASE","","mgd,MGD","None","None"
"sabiork.reaction","sabiork.reaction","SABIO-RK Reaction","SABIO-RK is a relational database system that contains information about biochemical reactions, their kinetic equations with their parameters, and the experimental conditions under which these parameters were measured. The reaction data set provides information regarding the organism in which a reaction is observed, pathways in which it participates, and links to further information.","DATABASE","","sabiork.reaction,SABIORK.REACTION","None","None"
"RefSeq","refseq","RefSeq","The Reference Sequence (RefSeq) collection aims to provide a comprehensive, integrated, non-redundant set of sequences, including genomic DNA, transcript (RNA), and protein products.","DATABASE","","refseq,REFSEQ,RefSeq","None","None"
"tcdb","tcdb","Transport Classification Database","The database details a comprehensive  IUBMB approved classification system for membrane transport proteins known as the Transporter Classification (TC) system. The TC system is analogous to the Enzyme Commission (EC) system for classification of enzymes, but incorporates phylogenetic information additionally.","DATABASE","","tcdb,TCDB","None","None"
"UniParc","uniparc","UniParc","The UniProt Archive (UniParc) is a  database containing non-redundant protein sequence information from many sources. Each unique sequence is given a stable and unique identifier (UPI) making it possible to identify the same protein from different source databases.","DATABASE","","uniparc,UNIPARC,UniParc","None","None"
"MINT","mint","MINT","The Molecular INTeraction database (MINT) stores, in a structured format, information about molecular interactions by extracting experimental details from work published in peer-reviewed journals.","DATABASE","","mint,MINT","None","None"
"IPI","ipi","IPI","The International Protein Index (IPI) provides complete nonredundant data sets representing the human, mouse and rat proteomes, built from the Swiss-Prot, TrEMBL, Ensembl and RefSeq databases","DATABASE","","ipi,IPI","None","None"
"dip","dip","Database of Interacting Proteins","The database of interacting protein (DIP) database stores experimentally determined interactions between proteins. It combines information from a variety of sources to create a single, consistent set of protein-protein interactions","DATABASE","","dip,DIP","None","None"
"signaling-gateway","signaling-gateway","Signaling Gateway","The Signaling Gateway provides  information on  mammalian proteins involved in cellular signaling.","DATABASE","","signaling-gateway,SIGNALING-GATEWAY","None","None"
"RESID","resid","RESID","The RESID Database of Protein Modifications is a comprehensive collection of annotations and structures for protein modifications including amino-terminal, carboxyl-terminal and peptide chain cross-link post-translational modifications.","DATABASE","","resid,RESID","None","None"
"rgd","rgd","Rat Genome Database","Rat Genome Database seeks to collect, consolidate, and integrate rat genomic and genetic data with curated functional and physiological data and make these data widely available to the scientific community. This collection references genes.","DATABASE","","rgd,RGD","None","None"
"tair.protein","tair.protein","TAIR Protein","The Arabidopsis Information Resource (TAIR) maintains a database of genetic and molecular biology data for the model higher plant Arabidopsis thaliana. This provides protein information for a given gene model and provides links to other sources such as UniProtKB and GenPept","DATABASE","","tair.protein,TAIR.PROTEIN","None","None"
"tair.gene","tair.gene","TAIR Gene","The Arabidopsis Information Resource (TAIR) maintains a database of genetic and molecular biology data for the model higher plant Arabidopsis thaliana. This is the reference gene model for a given locus.","DATABASE","","tair.gene,TAIR.GENE","None","None"
"tair.locus","tair.locus","TAIR Locus","The Arabidopsis Information Resource (TAIR) maintains a database of genetic and molecular biology data for the model higher plant Arabidopsis thaliana. The name of a Locus is unique and used by TAIR, TIGR, and MIPS.","DATABASE","","tair.locus,TAIR.LOCUS","None","None"
"HMDB","hmdb","HMDB","The Human Metabolome Database (HMDB) is a database containing detailed information about small molecule metabolites found in the human body.It contains or links 1) chemical 2) clinical and 3) molecular biology/biochemistry data.","DATABASE","","hmdb,HMDB","None","None"
"LIPID_MAPS","lipidmaps","LIPID MAPS","The LIPID MAPS Lipid Classification System is comprised of eight lipid categories, each with its own subclassification hierarchy. All lipids in the LIPID MAPS Structure Database (LMSD) have been classified using this system and have been assigned LIPID MAPS ID's which reflects their position in the classification hierarchy.","DATABASE","","lipidmaps,LIPIDMAPS,LIPID MAPS,lipid maps,LIPID_MAPS,lipid_maps","None","None"
"PeptideAtlas","peptideatlas","PeptideAtlas","The PeptideAtlas Project provides a publicly accessible database of peptides identified in tandem mass spectrometry proteomics studies and software tools.","DATABASE","","peptideatlas,PEPTIDEATLAS,PeptideAtlas","None","None"
"psimod","psimod","Protein Modification Ontology","The Proteomics Standards Initiative modification ontology (PSI-MOD)  aims to define a concensus nomenclature and ontology reconciling, in a hierarchical representation, the complementary descriptions of residue modifications.","DATABASE","","psimod,PSIMOD","None","None"
"sgd.pathways","sgd.pathways","Saccharomyces genome database pathways","Curated biochemical pathways for Saccharomyces cerevisiae at Saccharomyces genome database (SGD).","DATABASE","","sgd.pathways,SGD.PATHWAYS","None","None"
"BioGRID","biogrid","BioGRID","BioGRID is a database of physical and genetic interactions in Saccharomyces cerevisiae, Caenorhabditis elegans, Drosophila melanogaster, Homo sapiens, and Schizosaccharomyces pombe.","DATABASE","","biogrid,BIOGRID,BioGRID","None","None"
"MEROPS","merops","MEROPS","The MEROPS database is an information resource for peptidases (also termed proteases, proteinases and proteolytic enzymes) and the proteins that inhibit them.","DATABASE","","merops,MEROPS","None","None"
"panther.family","panther.family","PANTHER Family","The PANTHER (Protein ANalysis THrough Evolutionary Relationships) Classification System is a resource that classifies genes by their functions, using published scientific experimental evidence and evolutionary relationships to predict function even in the absence of direct experimental evidence. This collection references groups of genes that have been organised as families.","DATABASE","","panther.family,PANTHER.FAMILY","None","None"
"PRINTS","sprint","PRINTS","PRINTS is a compendium of protein fingerprints. A fingerprint is a group of conserved motifs used to characterise a protein family; its diagnostic power is refined by iterative scanning of a SWISS-PROT/TrEMBL composite. Usually the motifs do not overlap, but are separated along a sequence, though they may be contiguous in 3D-space. Fingerprints can encode protein folds and functionalities more flexibly and powerfully than can single motifs, full diagnostic potency deriving from the mutual context provided by motif neighbours.","DATABASE","","sprint,SPRINT,PRINTS,prints","None","None"
"ligandexpo","ligandexpo","Ligand Expo","Ligand Expo is a data resource for finding information about small molecules bound to proteins and nucleic acids.","DATABASE","","ligandexpo,LIGANDEXPO","None","None"
"Aclame","aclame","Aclame","ACLAME is a database dedicated to the collection and classification of mobile genetic elements (MGEs) from various sources, comprising all known phage genomes, plasmids and transposons.","DATABASE","","aclame,ACLAME,Aclame","None","None"
"ISBN","isbn","ISBN","The International Standard Book Number (ISBN) is for identifying printed books.","DATABASE","","isbn,ISBN","None","None"
"3DMET","3dmet","3DMET","3DMET is a database collecting three-dimensional structures of natural metabolites.","DATABASE","","3dmet,3DMET","None","None"
"MatrixDB","matrixdb.association","MatrixDB","MatrixDB stores experimentally determined interactions involving at least one extracellular biomolecule. It includes mostly protein-protein and protein-glycosaminoglycan interactions, as well as interactions with lipids and cations.","DATABASE","","matrixdb.association,MATRIXDB.ASSOCIATION,MatrixDB,matrixdb,MATRIXDB","None","None"
"ncbigene","ncbigene","NCBI Gene","Entrez Gene is the NCBI's database for gene-specific information, focusing on completely sequenced genomes, those with an active research community to contribute gene-specific information, or those that are scheduled for intense sequence analysis.","DATABASE","","ncbigene,NCBIGENE","None","None"
"kegg.genes","kegg.genes","KEGG Genes","KEGG GENES is a collection of gene catalogs for all complete genomes and some partial genomes, generated from publicly available resources.","DATABASE","","kegg.genes,KEGG.GENES","None","None"
"BRENDA","brenda","BRENDA","BRENDA is a collection of enzyme functional data available to the scientific community. Data on enzyme function are extracted directly from the primary literature The database covers information on classification and nomenclature, reaction and specificity, functional parameters, occurrence, enzyme structure and stability, mutants and enzyme engineering, preparation and isolation, the application of enzymes, and ligand-related data.","DATABASE","","brenda,BRENDA","None","None"
"PubChem-bioassay","pubchem.bioassay","PubChem-bioassay","PubChem provides information on the biological activities of small molecules. It is a component of NIH's Molecular Libraries Roadmap Initiative. PubChem bioassay archives active compounds and bioassay results.","DATABASE","","pubchem.bioassay,PUBCHEM.BIOASSAY,PubChem-bioassay,pubchem-bioassay,PUBCHEM-BIOASSAY","None","None"
"pathwaycommons","pathwaycommons","Pathway Commons","Pathway Commons is a convenient point of access to biological pathway information collected from public pathway databases, which you can browse or search. It is a collection of publicly available pathways from multiple organisms that provides researchers with convenient access to a comprehensive collection of pathways from multiple sources represented in a common language.","DATABASE","","pathwaycommons,PATHWAYCOMMONS","None","None"
"HOVERGEN","hovergen","HOVERGEN","HOVERGEN is a database of homologous vertebrate genes that allows one to select sets of homologous genes among vertebrate species, and to visualize multiple alignments and phylogenetic trees.","DATABASE","","hovergen,HOVERGEN","None","None"
"biomaps","biomaps","Melanoma Molecular Map Project Biomaps","A collection of molecular interaction maps and pathways involved in cancer development and progression with a focus on melanoma.","DATABASE","","biomaps,BIOMAPS","None","None"
"WikiPathways","wikipathways","WikiPathways","WikiPathways is a resource providing an open and public collection of  pathway maps created and curated by the community in a Wiki like style.
All content is under the Creative Commons Attribution 3.0 Unported license.","DATABASE","","wikipathways,WIKIPATHWAYS,WikiPathways","None","None"
"MACiE","macie","MACiE","MACiE (Mechanism, Annotation and Classification in Enzymes) is a database of enzyme reaction mechanisms. Each entry in MACiE consists of an overall reaction describing the chemical compounds involved, as well as the species name in which the reaction occurs. The individual reaction stages for each overall reaction are listed with mechanisms, alternative mechanisms, and amino acids involved.","DATABASE","","macie,MACIE,MACiE","None","None"
"mirbase","mirbase","miRBase Sequence","The miRBase Sequence Database is a searchable database of published miRNA sequences and annotation. The data were previously provided by the miRNA Registry. Each entry in the miRBase Sequence database represents a predicted hairpin portion of a miRNA transcript (termed mir in the database), with information on the location and sequence of the mature miRNA sequence (termed miR).","DATABASE","","mirbase,MIRBASE","None","None"
"zfin","zfin","ZFIN Gene","ZFIN serves as the zebrafish model organism database. This collection references gene information.","DATABASE","","zfin,ZFIN","None","None"
"HGNC","hgnc","HGNC","The HGNC (HUGO Gene Nomenclature Committee) provides an approved gene name and symbol (short-form abbreviation) for each known human gene.  All approved symbols are stored in the HGNC database, and each symbol is unique. HGNC ids refer to records in the HGNC symbol database.","DATABASE","","hgnc,HGNC","None","None"
